@relation recsub-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute Major {'PETROLEUM ENGINEERING','MINING AND MINERAL ENGINEERING','METALLURGICAL ENGINEERING','NAVAL ARCHITECTURE AND MARINE ENGINEERING','CHEMICAL ENGINEERING','NUCLEAR ENGINEERING','ACTUARIAL SCIENCE','ASTRONOMY AND ASTROPHYSICS','MECHANICAL ENGINEERING','ELECTRICAL ENGINEERING','COMPUTER ENGINEERING','AEROSPACE ENGINEERING','BIOMEDICAL ENGINEERING','MATERIALS SCIENCE','ENGINEERING MECHANICS PHYSICS AND SCIENCE','BIOLOGICAL ENGINEERING','INDUSTRIAL AND MANUFACTURING ENGINEERING','GENERAL ENGINEERING','ARCHITECTURAL ENGINEERING','COURT REPORTING','COMPUTER SCIENCE','FOOD SCIENCE','ELECTRICAL ENGINEERING TECHNOLOGY','MATERIALS ENGINEERING AND MATERIALS SCIENCE','MANAGEMENT INFORMATION SYSTEMS AND STATISTICS','CIVIL ENGINEERING','CONSTRUCTION SERVICES','OPERATIONS LOGISTICS AND E-COMMERCE','MISCELLANEOUS ENGINEERING','PUBLIC POLICY','ENVIRONMENTAL ENGINEERING','ENGINEERING TECHNOLOGIES','MISCELLANEOUS FINE ARTS','GEOLOGICAL AND GEOPHYSICAL ENGINEERING',NURSING,FINANCE,ECONOMICS,'BUSINESS ECONOMICS','INDUSTRIAL PRODUCTION TECHNOLOGIES','NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES',ACCOUNTING,MATHEMATICS,'COMPUTER AND INFORMATION SYSTEMS',PHYSICS,'MEDICAL TECHNOLOGIES TECHNICIANS','INFORMATION SCIENCES','STATISTICS AND DECISION SCIENCE','APPLIED MATHEMATICS',PHARMACOLOGY,OCEANOGRAPHY,'ENGINEERING AND INDUSTRIAL MANAGEMENT','MEDICAL ASSISTING SERVICES','MATHEMATICS AND COMPUTER SCIENCE','COMPUTER PROGRAMMING AND DATA PROCESSING','COGNITIVE SCIENCE AND BIOPSYCHOLOGY','SCHOOL STUDENT COUNSELING','INTERNATIONAL RELATIONS','GENERAL BUSINESS',ARCHITECTURE,'INTERNATIONAL BUSINESS','PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION','MOLECULAR BIOLOGY','MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION','AGRICULTURE PRODUCTION AND MANAGEMENT','GENERAL AGRICULTURE','MISCELLANEOUS ENGINEERING TECHNOLOGIES','MECHANICAL ENGINEERING RELATED TECHNOLOGIES',GENETICS,'MISCELLANEOUS SOCIAL SCIENCES','UNITED STATES HISTORY','INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY','AGRICULTURAL ECONOMICS','PHYSICAL SCIENCES','MILITARY TECHNOLOGIES',CHEMISTRY,'ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION','BUSINESS MANAGEMENT AND ADMINISTRATION','MARKETING AND MARKETING RESEARCH','POLITICAL SCIENCE AND GOVERNMENT',GEOGRAPHY,MICROBIOLOGY,'COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY','BIOCHEMICAL SCIENCES',BOTANY,'COMPUTER NETWORKING AND TELECOMMUNICATIONS','GEOLOGY AND EARTH SCIENCE','HUMAN RESOURCES AND PERSONNEL MANAGEMENT','PRE-LAW AND LEGAL STUDIES','MISCELLANEOUS HEALTH MEDICAL PROFESSIONS','PUBLIC ADMINISTRATION',GEOSCIENCES,'SOCIAL PSYCHOLOGY','ENVIRONMENTAL SCIENCE',COMMUNICATIONS,'CRIMINAL JUSTICE AND FIRE PROTECTION','COMMERCIAL ART AND GRAPHIC DESIGN',JOURNALISM,'MULTI-DISCIPLINARY OR GENERAL SCIENCE','ADVERTISING AND PUBLIC RELATIONS','AREA ETHNIC AND CIVILIZATION STUDIES','SPECIAL NEEDS EDUCATION',PHYSIOLOGY,CRIMINOLOGY,'NUTRITION SCIENCES','HEALTH AND MEDICAL ADMINISTRATIVE SERVICES','COMMUNICATION TECHNOLOGIES','TRANSPORTATION SCIENCES AND TECHNOLOGIES','NATURAL RESOURCES MANAGEMENT',NEUROSCIENCE,'MULTI/INTERDISCIPLINARY STUDIES','ATMOSPHERIC SCIENCES AND METEOROLOGY',FORESTRY,'SOIL SCIENCE','GENERAL EDUCATION',HISTORY,'FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES','INTERCULTURAL AND INTERNATIONAL STUDIES','SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION','COMMUNITY AND PUBLIC HEALTH','MATHEMATICS TEACHER EDUCATION','EDUCATIONAL ADMINISTRATION AND SUPERVISION','HEALTH AND MEDICAL PREPARATORY PROGRAMS','MISCELLANEOUS BIOLOGY',BIOLOGY,SOCIOLOGY,'MASS MEDIA','TREATMENT THERAPY PROFESSIONS','HOSPITALITY MANAGEMENT','LANGUAGE AND DRAMA EDUCATION','LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE','MISCELLANEOUS EDUCATION','INTERDISCIPLINARY SOCIAL SCIENCES',ECOLOGY,'SECONDARY TEACHER EDUCATION','GENERAL MEDICAL AND HEALTH SERVICES','PHILOSOPHY AND RELIGIOUS STUDIES','ART AND MUSIC EDUCATION','ENGLISH LANGUAGE AND LITERATURE','ELEMENTARY EDUCATION','PHYSICAL FITNESS PARKS RECREATION AND LEISURE','LIBERAL ARTS','FILM VIDEO AND PHOTOGRAPHIC ARTS','GENERAL SOCIAL SCIENCES','PLANT SCIENCE AND AGRONOMY','SCIENCE AND COMPUTER TEACHER EDUCATION',PSYCHOLOGY,MUSIC,'PHYSICAL AND HEALTH EDUCATION TEACHING','ART HISTORY AND CRITICISM','FINE ARTS','FAMILY AND CONSUMER SCIENCES','SOCIAL WORK','ANIMAL SCIENCES','VISUAL AND PERFORMING ARTS','TEACHER EDUCATION: MULTIPLE LEVELS','MISCELLANEOUS PSYCHOLOGY','HUMAN SERVICES AND COMMUNITY ORGANIZATION',HUMANITIES,'THEOLOGY AND RELIGIOUS VOCATIONS','STUDIO ARTS','COSMETOLOGY SERVICES AND CULINARY ARTS','MISCELLANEOUS AGRICULTURE','ANTHROPOLOGY AND ARCHEOLOGY','COMMUNICATION DISORDERS SCIENCES AND SERVICES','EARLY CHILDHOOD EDUCATION','OTHER FOREIGN LANGUAGES','DRAMA AND THEATER ARTS','COMPOSITION AND RHETORIC',ZOOLOGY,'EDUCATIONAL PSYCHOLOGY','CLINICAL PSYCHOLOGY','COUNSELING PSYCHOLOGY','LIBRARY SCIENCE'}
@attribute Major_category {Engineering,Business,'Physical Sciences','Law & Public Policy','Computers & Mathematics','Agriculture & Natural Resources','Industrial Arts & Consumer Services',Arts,Health,'Social Science','Biology & Life Science',Education,'Humanities & Liberal Arts','Psychology & Social Work','Communications & Journalism',Interdisciplinary}
@attribute Total numeric
@attribute Sample_size numeric
@attribute Men numeric
@attribute Women numeric
@attribute ShareWomen numeric
@attribute Full_time_year_round numeric
@attribute Median numeric
@attribute P25th numeric
@attribute P75th numeric
@attribute College_jobs numeric
@attribute Non_college_jobs numeric
@attribute Low_wage_jobs numeric

@data
'PETROLEUM ENGINEERING',Engineering,2339,36,2057,282,0.120564,1207,110000,95000,125000,1534,364,193
'MINING AND MINERAL ENGINEERING',Engineering,756,7,679,77,0.101852,388,75000,55000,90000,350,257,50
'METALLURGICAL ENGINEERING',Engineering,856,3,725,131,0.153037,340,73000,50000,105000,456,176,0
'NAVAL ARCHITECTURE AND MARINE ENGINEERING',Engineering,1258,16,1123,135,0.107313,692,70000,43000,80000,529,102,0
'CHEMICAL ENGINEERING',Engineering,32260,289,21239,11021,0.341631,16697,65000,50000,75000,18314,4440,972
'NUCLEAR ENGINEERING',Engineering,2573,17,2200,373,0.144967,1449,65000,50000,102000,1142,657,244
'ACTUARIAL SCIENCE',Business,3777,51,832,960,0.535714,2482,62000,53000,72000,1768,314,259
'ASTRONOMY AND ASTROPHYSICS','Physical Sciences',1792,10,2110,1667,0.441356,827,62000,31500,109000,972,500,220
'MECHANICAL ENGINEERING',Engineering,91227,1029,12953,2105,0.139793,54639,60000,48000,70000,52844,16384,3253
'ELECTRICAL ENGINEERING',Engineering,81527,631,8407,6548,0.437847,41413,60000,45000,72000,45829,10874,3170
'COMPUTER ENGINEERING',Engineering,41542,399,33258,8284,0.199413,23621,60000,45000,75000,23694,5721,980
'AEROSPACE ENGINEERING',Engineering,15058,147,65511,16016,0.19645,8790,60000,42000,70000,8184,2425,372
'BIOMEDICAL ENGINEERING',Engineering,14955,79,80320,10907,0.119559,5986,60000,36000,70000,6439,2471,789
'MATERIALS SCIENCE',Engineering,4279,22,2949,1330,0.31082,1967,60000,39000,65000,2626,391,81
'ENGINEERING MECHANICS PHYSICS AND SCIENCE',Engineering,4321,30,3526,795,0.183985,2004,58000,25000,74000,2439,947,263
'BIOLOGICAL ENGINEERING',Engineering,8925,55,6062,2863,0.320784,3413,57100,40000,76000,3603,1595,524
'INDUSTRIAL AND MANUFACTURING ENGINEERING',Engineering,18968,183,12453,6515,0.343473,11326,57000,37900,67000,8306,3235,640
'GENERAL ENGINEERING',Engineering,61152,425,45683,15469,0.25296,33540,56000,36000,69000,26898,11734,3192
'ARCHITECTURAL ENGINEERING',Engineering,2825,26,1835,990,0.350442,1848,54000,38000,65000,1665,649,137
'COURT REPORTING','Law & Public Policy',1148,14,877,271,0.236063,808,54000,50000,54000,402,528,144
'COMPUTER SCIENCE','Computers & Mathematics',128319,1196,1837,2524,0.578766,70932,53000,39000,70000,68622,25667,5144
'FOOD SCIENCE','Agriculture & Natural Resources',4361,36,99743,28576,0.222695,1735,53000,32000,70000,1183,1274,485
'ELECTRICAL ENGINEERING TECHNOLOGY',Engineering,11565,97,2020,973,0.325092,5681,52000,35000,60000,5126,2686,696
'MATERIALS ENGINEERING AND MATERIALS SCIENCE',Engineering,2993,22,8181,3384,0.292607,1151,52000,35000,62000,1911,305,70
'MANAGEMENT INFORMATION SYSTEMS AND STATISTICS',Business,18713,278,13496,5217,0.27879,13017,51000,38000,60000,6342,5741,708
'CIVIL ENGINEERING',Engineering,53153,565,41081,12072,0.227118,29196,50000,40000,60000,28526,9356,2899
'CONSTRUCTION SERVICES','Industrial Arts & Consumer Services',18498,295,2662,1385,0.342229,12313,50000,36000,60000,3275,5351,703
'OPERATIONS LOGISTICS AND E-COMMERCE',Business,11732,156,488,232,0.322222,7724,50000,40000,60000,1466,3629,285
'MISCELLANEOUS ENGINEERING',Engineering,9133,118,7398,1735,0.18997,5476,50000,39000,65000,3445,2426,365
'PUBLIC POLICY','Law & Public Policy',5978,55,2695,905,0.251389,2776,50000,35000,70000,1550,1871,340
'ENVIRONMENTAL ENGINEERING',Engineering,4047,26,2639,3339,0.558548,1951,50000,42000,56000,2028,830,260
'ENGINEERING TECHNOLOGIES',Engineering,3600,39,16820,1678,0.090713,1723,50000,43000,60000,1017,1269,142
'MISCELLANEOUS FINE ARTS',Arts,3340,30,1970,1370,0.41018,1200,50000,25000,66000,693,1714,755
'GEOLOGICAL AND GEOPHYSICAL ENGINEERING',Engineering,720,5,7921,3811,0.324838,396,50000,42800,57000,501,50,49
NURSING,Health,209394,2554,21773,187621,0.896019,122817,48000,39000,58000,151643,26146,6193
FINANCE,Business,174506,2189,89749,49498,0.355469,108595,47000,35000,64000,24243,48447,9910
ECONOMICS,'Social Science',139247,1322,115030,59476,0.340825,70740,47000,35000,65000,25582,37057,10653
'BUSINESS ECONOMICS',Business,13302,199,3477,1154,0.24919,8000,46000,33000,58000,1578,4612,1284
'INDUSTRIAL PRODUCTION TECHNOLOGIES',Engineering,4631,73,528,1588,0.750473,3242,46000,35000,65000,1394,2454,480
'NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES','Physical Sciences',2116,31,7575,5727,0.430537,1115,46000,38000,53000,162,1475,124
ACCOUNTING,Business,198633,2042,27392,9306,0.253583,123169,45000,34000,56000,11417,39323,10886
MATHEMATICS,'Computers & Mathematics',72397,541,9005,2908,0.244103,33738,45000,33000,60000,34800,14829,4569
'COMPUTER AND INFORMATION SYSTEMS','Computers & Mathematics',36698,425,515,1247,0.707719,21130,45000,30000,60000,13344,11783,1672
PHYSICS,'Physical Sciences',32142,142,39956,32441,0.448099,14389,45000,30000,68000,18674,4576,1823
'MEDICAL TECHNOLOGIES TECHNICIANS',Health,15914,190,2794,2145,0.434298,9005,45000,36000,50000,5546,7176,1002
'INFORMATION SCIENCES','Computers & Mathematics',11913,158,2960,3291,0.526476,7378,45000,32500,58000,4390,4102,608
'STATISTICS AND DECISION SCIENCE','Computers & Mathematics',6251,37,23080,9062,0.281936,2151,45000,26700,60000,2298,1200,343
'APPLIED MATHEMATICS','Computers & Mathematics',4939,45,3916,11998,0.753927,2593,45000,34000,63000,2437,803,357
PHARMACOLOGY,'Biology & Life Science',1762,3,94519,104114,0.524153,565,45000,40000,45000,603,478,93
OCEANOGRAPHY,'Physical Sciences',2418,36,752,1666,0.688999,1595,44700,23000,50000,459,996,186
'ENGINEERING AND INDUSTRIAL MANAGEMENT',Engineering,2906,29,2400,506,0.174123,1358,44000,30000,50000,482,844,245
'MEDICAL ASSISTING SERVICES',Health,11123,67,500,109,0.178982,4290,42000,30000,65000,2091,6948,1270
'MATHEMATICS AND COMPUTER SCIENCE','Computers & Mathematics',609,7,803,10320,0.927807,391,42000,30000,78000,452,67,25
'COMPUTER PROGRAMMING AND DATA PROCESSING','Computers & Mathematics',4168,43,3046,1122,0.269194,2453,41300,20000,46000,2024,1033,263
'COGNITIVE SCIENCE AND BIOPSYCHOLOGY','Biology & Life Science',3831,25,119,699,0.854523,1584,41000,20000,60000,1369,921,135
'SCHOOL STUDENT COUNSELING',Education,818,4,1667,2164,0.564866,545,41000,41000,43000,509,221,0
'INTERNATIONAL RELATIONS','Social Science',28187,219,10345,17842,0.632987,13583,40100,31200,53000,6774,9570,2499
'GENERAL BUSINESS',Business,234590,2380,6053,4346,0.417925,138299,40000,30000,55000,29334,100831,27320
ARCHITECTURE,Engineering,46420,362,9658,4582,0.32177,20026,40000,31000,50000,16178,13724,4221
'INTERNATIONAL BUSINESS',Business,25894,260,1749,690,0.282903,12823,40000,30000,50000,3383,9482,3046
